A001n_PN1c_00001-5	reltype=ob	['９', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4']
A011n_PN4f_00001-24	reltype=overlap	['二', '殺害']	[JSP]調べでは、■■容疑者は二十二日午前一時半ごろ、自宅一階の和室で、長男の日本大歯学部六年■■さん（二四）と口論になり、■■さんの右胸を散弾銃で一発撃って殺害した疑い。	['11', '37']
A011n_PN4f_00001-26	reltype=overlap	['一', 'い']	[JSP]自宅にいた二男（一九）が「兄が撃たれた」と近所の民家に駆け込み、その家の男性が一一九番した。	['4', '8']
A011n_PN4f_00001-26	reltype=overlap	['一', '撃た']	[JSP]自宅にいた二男（一九）が「兄が撃たれた」と近所の民家に駆け込み、その家の男性が一一九番した。	['8', '15']
A011n_PN4f_00001-26	reltype=overlap	['一', '駆け込み']	[JSP]自宅にいた二男（一九）が「兄が撃たれた」と近所の民家に駆け込み、その家の男性が一一九番した。	['8', '24']
A011n_PN4f_00001-26	reltype=overlap	['一', '一']	[JSP]自宅にいた二男（一九）が「兄が撃たれた」と近所の民家に駆け込み、その家の男性が一一九番した。	['8', '31']
A011n_PN4f_00001-33	reltype=ob	['二', '調べる']	[JSP]農水省は二〇〇一年十月から、すべての牛でＢＳＥ感染の有無を調べる「全頭検査」を実施。	['5', '23']
A011n_PN4f_00001-34	reltype=overlap	['同月', '発表']	同月末に発表された対策事業では「シロ」とされた牛肉は助成制度の対象外だった。	['1', '4']
A011n_PN4f_00001-34	reltype=overlap	['同月', 'さ']	同月末に発表された対策事業では「シロ」とされた牛肉は助成制度の対象外だった。	['1', '5']
A011n_PN4f_00001-36	reltype=overlap	['同年', '偽っ']	[JSP]調べなどによると、全同食は同年秋、全頭検査後の国産牛肉約八・二トンを買い上げ対象と偽って申請し、農畜産業振興事業団（現農畜産業振興機構）から、助成金を不正に受けた疑いが持たれている。	['10', '28']
A011n_PN4f_00001-36	reltype=overlap	['同年', '申請']	[JSP]調べなどによると、全同食は同年秋、全頭検査後の国産牛肉約八・二トンを買い上げ対象と偽って申請し、農畜産業振興事業団（現農畜産業振興機構）から、助成金を不正に受けた疑いが持たれている。	['10', '30']
A011n_PN4f_00001-36	reltype=overlap	['同年', '受け']	[JSP]調べなどによると、全同食は同年秋、全頭検査後の国産牛肉約八・二トンを買い上げ対象と偽って申請し、農畜産業振興事業団（現農畜産業振興機構）から、助成金を不正に受けた疑いが持たれている。	['10', '52']
A011n_PN4f_00001-36	reltype=before	['同年', '持た']	[JSP]調べなどによると、全同食は同年秋、全頭検査後の国産牛肉約八・二トンを買い上げ対象と偽って申請し、農畜産業振興事業団（現農畜産業振興機構）から、助成金を不正に受けた疑いが持たれている。	['10', '56']
A012n_PN4g_00001-4	reltype=overlap	['十', '締結']	[JSP]日本政府は十五日、世界の民族文化財や口承伝統などの保存を目指した国連教育科学文化機関（ユネスコ）の無形文化遺産保護条約を締結した。	['5', '38']
A012n_PN4g_00001-6	reltype=overlap	['昨年', '採択']	[JSP]同条約は昨年十月のユネスコ総会で採択された。	['5', '12']
A012n_PN4g_00001-11	reltype=after	['二', '先駆け']	[JSP]日本は世界に先駆けて無形文化財の保護に取り組んでおり、二〇〇〇年の主要国首脳会議（九州・沖縄サミット）でユネスコによる世界の無形文化財保護を提唱。	['6', '18']
A012n_PN4g_00001-11	reltype=overlap	['二', '取り組ん']	[JSP]日本は世界に先駆けて無形文化財の保護に取り組んでおり、二〇〇〇年の主要国首脳会議（九州・沖縄サミット）でユネスコによる世界の無形文化財保護を提唱。	['14', '18']
A012n_PN4g_00001-15	reltype=overlap	['十', '支持']	[JSP]ブッシュ米大統領は十四日、世界保健機関（ＷＨＯ）総会への台湾の参加を支持し、参加を実現させるための法案に署名した。	['6', '23']
A012n_PN4g_00001-15	reltype=before	['十', '実現']	[JSP]ブッシュ米大統領は十四日、世界保健機関（ＷＨＯ）総会への台湾の参加を支持し、参加を実現させるための法案に署名した。	['6', '28']
A012n_PN4g_00001-15	reltype=overlap	['十', '署名']	[JSP]ブッシュ米大統領は十四日、世界保健機関（ＷＨＯ）総会への台湾の参加を支持し、参加を実現させるための法案に署名した。	['6', '35']
A012n_PN4g_00001-16	reltype=overlap	['同日', '発表']	[JSP]大統領は同日発表した声明で「米国はオブザーバーの地位を含め台湾がＷＨＯの活動に参加することを全面的に支持する」と指摘。	['4', '5']
A012n_PN4g_00001-16	reltype=before	['同日', '参加']	[JSP]大統領は同日発表した声明で「米国はオブザーバーの地位を含め台湾がＷＨＯの活動に参加することを全面的に支持する」と指摘。	['4', '24']
A012n_PN4g_00001-16	reltype=overlap	['同日', '支持']	[JSP]大統領は同日発表した声明で「米国はオブザーバーの地位を含め台湾がＷＨＯの活動に参加することを全面的に支持する」と指摘。	['4', '31']
A012n_PN4g_00001-18	reltype=overlap	['五', '開い']	[JSP]ＷＨＯは五月十八日、ジュネーブで開いた総会で台湾の総会へのオブザーバー参加問題を議題としないことを決め、オブザーバー参加を認めなかった。	['4', '12']
A012n_PN4g_00001-18	reltype=overlap	['五', '決め']	[JSP]ＷＨＯは五月十八日、ジュネーブで開いた総会で台湾の総会へのオブザーバー参加問題を議題としないことを決め、オブザーバー参加を認めなかった。	['4', '31']
A012n_PN4g_00001-18	reltype=overlap	['五', '認め']	[JSP]ＷＨＯは五月十八日、ジュネーブで開いた総会で台湾の総会へのオブザーバー参加問題を議題としないことを決め、オブザーバー参加を認めなかった。	['4', '36']
A012n_PN4g_00001-22	reltype=before	['十', '実現']	[JSP]台湾外交部は十五日、ブッシュ大統領が世界保健機関（ＷＨＯ）への台湾の参加を実現させるための法案に署名したことについて、歓迎声明を発表した。	['6', '25']
A012n_PN4g_00001-22	reltype=overlap	['十', '発表']	[JSP]台湾外交部は十五日、ブッシュ大統領が世界保健機関（ＷＨＯ）への台湾の参加を実現させるための法案に署名したことについて、歓迎声明を発表した。	['6', '43']
A012n_PN4g_00001-27	reltype=after	['十', '絡む']	[JSP]ギリシャのリゾート買収に絡むイスラエルのシャロン首相の汚職疑惑で、同国のマズーズ検事総長は十五日、首相を証拠不十分で不起訴処分とすることを決めた。	['7', '23']
A012n_PN4g_00001-27	reltype=overlap	['十', 'する']	[JSP]ギリシャのリゾート買収に絡むイスラエルのシャロン首相の汚職疑惑で、同国のマズーズ検事総長は十五日、首相を証拠不十分で不起訴処分とすることを決めた。	['23', '37']
A012n_PN4g_00001-27	reltype=overlap	['十', '決め']	[JSP]ギリシャのリゾート買収に絡むイスラエルのシャロン首相の汚職疑惑で、同国のマズーズ検事総長は十五日、首相を証拠不十分で不起訴処分とすることを決めた。	['23', '40']
A012n_PN4g_00001-29	reltype=ob	['一', '図る']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['7', '25']
A012n_PN4g_00001-29	reltype=before	['一', '持た']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['7', '50']
A012n_PN4g_00001-29	reltype=oa	['九', 'かけ']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['8', '9']
A012n_PN4g_00001-29	reltype=oa	['九', '図る']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['8', '9']
A012n_PN4g_00001-29	reltype=before	['九', '持た']	[JSP]首相は外相だった一九九八―九九年にかけ、ギリシャのリゾート買収で便宜を図る見返りに、息子を通じイスラエル人実業家から現金三百万ドルの支払いを約束された疑いが持たれていた。	['8', '9']
A012n_PN4g_00001-33	reltype=overlap	['十', '行っ']	[JSP]ブッシュ米大統領は十五日、ホワイトハウスで訪米中のアフガニスタンのカルザイ大統領と首脳会談を行った。	['6', '24']
A012n_PN4g_00001-35	reltype=vague	['今年', '続き']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['20', '30']
A012n_PN4g_00001-35	reltype=after	['九', '指摘']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['24', '41']
A012n_PN4g_00001-35	reltype=after	['九', '図り']	[JSP]アフガンでは、有権者登録など手続きの遅れや治安上の問題から、今年六月から九月への延期に続き、選挙が再延期される可能性が指摘されており、カルザイ大統領は米国の支援強化により、こうした懸念を払しょく、予定通りの選挙実現を図りたい考えだ。	['24', '70']
A012n_PN4g_00001-36	reltype=overlap	['今月', '開か']	[JSP]アフガン問題は今月下旬にイスタンブールで開かれるＮＡＴＯ首脳会議で議題となる見通し。	['5', '10']
A012n_PN4g_00001-36	reltype=overlap	['今月', 'なる']	[JSP]アフガン問題は今月下旬にイスタンブールで開かれるＮＡＴＯ首脳会議で議題となる見通し。	['5', '18']
A013n_PN1a_00002-6	reltype=vague	['５', '増え']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '22']
A013n_PN1a_00002-6	reltype=vague	['５', '廃止']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '27']
A013n_PN1a_00002-6	reltype=vague	['５', '切り替え']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '35']
A013n_PN1a_00002-6	reltype=vague	['５', 'する']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '37']
A013n_PN1a_00002-6	reltype=vague	['５', 'ある']	昔は一律に行われてきたが、最近は、学校５日制や共働きが増えたことで、廃止したり面談や懇談会に切り替えたりするケースもある。	['16', '40']
A013n_PN1a_00002-10	reltype=overlap	['昨年', 'やめ']	[JSP]埼玉県の草加市立八幡小学校は昨年、家庭訪問をやめ、代わりに「地域訪問」に切り替えた。	['12', '17']
A013n_PN1a_00002-10	reltype=overlap	['昨年', '切り替え']	[JSP]埼玉県の草加市立八幡小学校は昨年、家庭訪問をやめ、代わりに「地域訪問」に切り替えた。	['12', '26']
A013n_PN1a_00002-13	reltype=overlap	['５', 'かけ']	それ以前は５日かけ家庭訪問していたが、地域訪問は２日。	['4', '6']
A013n_PN1a_00002-13	reltype=overlap	['５', '家庭']	それ以前は５日かけ家庭訪問していたが、地域訪問は２日。	['4', '7']
A013n_PN1a_00002-15	reltype=overlap	['来年', 'なる']	「来年からは５日制が完全実施になる。少しでも時間を大切にしたい」と同校の川野清教頭は説明する。	['2', '12']
A013n_PN1a_00002-28	reltype=overlap	['昨年', 'やめ']	静岡県下田市の下田小学校は昨年、地域訪問をやめ、家庭訪問を復活させた。	['10', '15']
A013n_PN1a_00002-28	reltype=overlap	['昨年', '復活']	静岡県下田市の下田小学校は昨年、地域訪問をやめ、家庭訪問を復活させた。	['10', '20']
A013n_PN1a_00002-30	reltype=after	['今後', '求め']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['16', '27']
A013n_PN1a_00002-30	reltype=overlap	['今後', 'する']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['31', '37']
A013n_PN1a_00002-30	reltype=after	['今後', '位置']	[JSP]だが、藤井秀喜校長は、「家庭との連携が求められている。その場での成果は求めず、むしろ今後の関係をスムーズにするための『顔あわせ』と位置づけた」という。	['31', '44']
A013n_PN1a_00002-32	reltype=overlap	['昨年', 'もどし']	だが、昨年からこの時期にもどした。	['4', '9']
A013n_PN1a_00002-35	reltype=before	['３', '務める']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '22']
A013n_PN1a_00002-35	reltype=vague	['３', 'し']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '41']
A013n_PN1a_00002-35	reltype=vague	['３', 'で']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['7', '17']
A013n_PN1a_00002-35	reltype=before	['１', '務める']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['22', '30']
A013n_PN1a_00002-35	reltype=ob	['１', 'し']	[JSP]小学校教員歴が３２年あり、千葉大学教育学部で非常勤講師を務める向山洋一さんによると、１５年ぐらい前から「玄関先だけにして」という家庭がでてきた。	['30', '41']
A013n_PN1a_00002-36	reltype=vague	['５', 'なっ']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['15', '24']
A013n_PN1a_00002-36	reltype=vague	['５', 'かけ']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['24', '44']
A013n_PN1a_00002-36	reltype=vague	['５', '分析']	「共働きの増加や親がプライバシーを守りたい意識が強くなってきたのに加え、学校５日制導入で授業時間が少なくなったことが、家庭訪問見直しに拍車をかけた」と分析する。	['24', '48']
A013n_PN1a_00002-38	reltype=overlap	['今', 'やっ']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '5']
A013n_PN1a_00002-38	reltype=overlap	['今', 'やら']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '7']
A013n_PN1a_00002-38	reltype=overlap	['今', 'し']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '17']
A013n_PN1a_00002-38	reltype=overlap	['今', '時間']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '19']
A013n_PN1a_00002-38	reltype=overlap	['今', 'あっ']	[JSP]今は、やったりやらなかったり、地域訪問や地域懇談にして時間短縮する「中間系」もあったりと、実施状況もバラバラ。	['2', '27']
A013n_PN1a_00002-43	reltype=overlap	['明治', '通わ']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '27']
A013n_PN1a_00002-43	reltype=overlap	['明治', '説得']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '33']
A013n_PN1a_00002-43	reltype=before	['明治', 'いう']	[JSP]日本大学文理学部の佐藤秀夫教授によると、家庭訪問は明治初期に、不就学児を学校に通わせるように親を説得する目的で始まったという。	['17', '40']
A013n_PN1a_00002-49	reltype=vague	['１', '気兼ね']	１０分のために半日休み／気兼ねせずに本音話せる	['1', '10']
A013n_PN1a_00002-49	reltype=vague	['１', '話せる']	１０分のために半日休み／気兼ねせずに本音話せる	['1', '15']
A013n_PN1a_00002-49	reltype=vague	['半日', '気兼ね']	１０分のために半日休み／気兼ねせずに本音話せる	['7', '10']
A013n_PN1a_00002-49	reltype=vague	['半日', '話せる']	１０分のために半日休み／気兼ねせずに本音話せる	['7', '15']
A013n_PN1a_00002-53	reltype=after	['午後', 'なる']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['9', '20']
A013n_PN1a_00002-53	reltype=after	['午後', '調整']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['12', '20']
A013n_PN1a_00002-53	reltype=after	['午後', 'もらっ']	兄弟の家庭訪問が同じ日になるように調整してもらい、その日の午後は休みをもらった。	['20', '24']
A013n_PN1a_00002-54	reltype=after	['１', '苦労']	１０分程度のために、苦労して時間をやりくりしても、雑談になることも多い。	['1', '9']
A013n_PN1a_00002-54	reltype=after	['１', 'やりくり']	１０分程度のために、苦労して時間をやりくりしても、雑談になることも多い。	['1', '14']
A013n_PN1a_00002-58	reltype=overlap	['今年', '受け']	[JSP]「今年から家庭訪問の時は会えなくてもいいです」と、新学期の保護者会で担任から説明を受けた。	['3', '30']
A013n_PN1a_00002-71	reltype=overlap	['昔', '見']	[JSP]昔は、「どうぞ、勉強部屋も見てください」と通されたこともあった。	['2', '11']
A013n_PN1a_00002-71	reltype=overlap	['昔', '通さ']	[JSP]昔は、「どうぞ、勉強部屋も見てください」と通されたこともあった。	['2', '16']
A013n_PN1a_00002-72	reltype=overlap	['今', '切り上げる']	今は玄関先で、短時間で切り上げるように気をつかっている。	['1', '10']
A013n_PN1a_00002-72	reltype=overlap	['今', 'つかっ']	今は玄関先で、短時間で切り上げるように気をつかっている。	['1', '15']
A013n_PN1a_00002-91	reltype=vague	['３', '行っ']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['6', '17']
A013n_PN1a_00002-91	reltype=vague	['３', '出']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['6', '25']
A013n_PN1a_00002-91	reltype=vague	['５', '行っ']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['9', '17']
A013n_PN1a_00002-91	reltype=vague	['５', '出']	ミツカンが首都圏の３０〜５０代の主婦を対象に行ったアンケートで、こんな結果が出た。	['9', '25']
A014n_PN1b_00002-3	reltype=overlap	['１', 'なっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['23', '33']
A014n_PN1b_00002-3	reltype=before	['１', '分かっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['23', '33']
A014n_PN1b_00002-3	reltype=before	['過去', '分かっ']	[JSP]国立大学や高専が民間企業から研究者や研究費を受け入れて行う共同研究が、１９９９年度は過去最高の３１２９件になったことが文部科学省の調べで分かった。	['29', '48']
A014n_PN1b_00002-4	reltype=before	['前', 'なっ']	前年度より５６１件多く、２割以上の増加になった。	['1', '16']
A014n_PN1b_00002-12	reltype=overlap	['今春', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '32']
A014n_PN1b_00002-12	reltype=overlap	['今春', '開く']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['32', '44']
A014n_PN1b_00002-12	reltype=overlap	['２', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '39']
A014n_PN1b_00002-12	reltype=overlap	['３', '期待']	[JSP]生涯学習社会の柱の一つとして大学通信教育の役割が期待されているが、私立大学通信教育協会は今春の合同入学説明会を２〜３月に開く。	['19', '41']
A014n_PN1b_00002-26	reltype=overlap	['２', '注目']	２１世紀最初の国政選挙の結果が大いに注目される。	['1', '12']
A014n_PN1b_00002-27	reltype=overlap	['２', '固め']	[JSP]野党第１党の民主党は２０日の定期大会で、参院選に向けて党の基本的スタンスを固め、政策の詰めを行った。	['10', '29']
A014n_PN1b_00002-27	reltype=overlap	['２', '行っ']	[JSP]野党第１党の民主党は２０日の定期大会で、参院選に向けて党の基本的スタンスを固め、政策の詰めを行った。	['10', '35']
A014n_PN1b_00002-30	reltype=ob	['１', '続い']	[JSP]１９９３年の細川護熙政権誕生以来、わが国ではここ１０年近く連立政権時代が続いている。	['2', '19']
A014n_PN1b_00002-30	reltype=overlap	['１', '続い']	[JSP]１９９３年の細川護熙政権誕生以来、わが国ではここ１０年近く連立政権時代が続いている。	['2', '19']
A014n_PN1b_00002-36	reltype=before	['昨年', 'し']	党大会で鳩山由紀夫代表は「前回の参院選がホップなら、昨年の総選挙はステップ、７月の参院選はジャンプ台にしなくてはならない」と力説。	['17', '33']
A014n_PN1b_00002-37	reltype=after	['２', '提起']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['22', '26']
A014n_PN1b_00002-37	reltype=overlap	['２', '詰める']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['26', '31']
A014n_PN1b_00002-37	reltype=after	['２', '了承']	さらに、「地域から、政府を代えよう！！」と参院選のための政策草案も提起され、２月中には詰めることが了承された。	['26', '34']
A015n_PN1d_00002-2	reltype=overlap	['９', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '7']
A015n_PN1d_00002-2	reltype=after	['９', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '30']
A015n_PN1d_00002-2	reltype=after	['９', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '35']
A015n_PN1d_00002-2	reltype=after	['９', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['5', '40']
A015n_PN1d_00002-2	reltype=before	['４', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '10']
A015n_PN1d_00002-2	reltype=overlap	['４', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['10', '30']
A015n_PN1d_00002-2	reltype=overlap	['４', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['10', '54']
A015n_PN1d_00002-2	reltype=before	['前月', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '32']
A015n_PN1d_00002-2	reltype=before	['前月', 'なり']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['30', '32']
A015n_PN1d_00002-2	reltype=before	['前月', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['32', '35']
A015n_PN1d_00002-2	reltype=before	['前月', '転じ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['32', '54']
A015n_PN1d_00002-2	reltype=before	['３', '発表']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['7', '18']
A015n_PN1d_00002-2	reltype=vague	['３', '比べ']	[JSP]財務省が９日発表した４月末の外貨準備高は３６２６億１１００万ドルとなり、前月末に比べ１１億３９００万ドル増と、３カ月ぶりにプラスに転じた。	['18', '35']
A015n_PN1d_00002-7	reltype=overlap	['８', '指揮']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['8', '16']
A015n_PN1d_00002-7	reltype=overlap	['８', '語り']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '45']
A015n_PN1d_00002-7	reltype=before	['８', '公表']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '51']
A015n_PN1d_00002-7	reltype=overlap	['８', '凍結']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '75']
A015n_PN1d_00002-7	reltype=before	['８', '打ち出す']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '88']
A015n_PN1d_00002-7	reltype=overlap	['８', '示し']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['16', '91']
A015n_PN1d_00002-7	reltype=overlap	['１', '指揮']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['8', '47']
A015n_PN1d_00002-7	reltype=after	['１', '語り']	[JSP]米国のエネルギー政策見直しを指揮しているチェイニー副大統領は８日、ＣＮＮテレビのインタビューで「環境対策、経済性の両面から原子力（発電）は好ましい選択肢だ」と語り、１７日に公表される見通しのブッシュ政権のエネルギー政策の大綱で、１９７０年代から事実上、凍結されている原子力発電所の新規建設を打ち出す考えを示した。	['45', '47']
